ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
cphrase_yue_389,佢係咪專登唔覆我？,Is he not replying to me on purpose?,,
cphrase_yue_390,難講。一時時㗎咋，唔好諗咁多。,Hard to say. It comes and goes — don’t read into it.,,
cphrase_yue_391,好在我冇貿貿然打去鬧佢。,Just as well I didn’t ring up and have a go at him.,,
cphrase_yue_392,卒之都係要傾。事關唔講清楚，件事唔會完。,You’ll have to talk in the end. Because until it’s said out loud it isn’t finished.,,
cphrase_yue_393,頭先個細路仔喺門口做乜？,What was that kid doing at the door earlier?,,
cphrase_yue_394,揾佢阿爸。個主人家出咗街。,Looking for his dad. The owner’s gone out.,,
cphrase_yue_395,噉你叫佢等啦，唔好周圍走。,Tell him to wait then — don’t let him wander off.,,
cphrase_yue_396,知喇。我叫咗隔籬個老人家睇住佢。,Alright. I’ve asked the old boy next door to keep an eye on him.,,
cphrase_yue_397,你要咩飲品？凍檸茶定鴛鴦？,What are you drinking — iced lemon tea or a yuenyeung?,,
cphrase_yue_398,鴛鴦。夜晚飲都瞓得着。,Yuenyeung. I can still sleep after one at night.,,
cphrase_yue_399,食咩餸？佢哋個鐵板牛扒幾好。,What are you eating? Their sizzling steak is decent.,,
cphrase_yue_400,好呀。哩間嘢好味道，就係貴咗少少。,Go on then. The food here’s good — just a bit dear.,,
cphrase_yue_401,你今日幾點放工？,What time do you knock off today?,,
cphrase_yue_402,六點。陣間仲要幫手搬啲貨。,Six. I’ve still got to help shift the stock in a bit.,,
cphrase_yue_403,記住預早同阿曉講，唔好臨尾先。,"Remember to tell Ling ahead of time, not at the last minute.",,
cphrase_yue_404,知喇。上次遲到係我唔啱。,I know. Being late last time was my fault.,,
cphrase_yue_405,佢話我攞咗啲錢，根本無中生有。,He says I took the money — he’s made it up out of nothing.,,
cphrase_yue_406,弊傢伙。你有冇同老細講？,That’s bad. Have you told the boss?,,
cphrase_yue_407,未。講咗又怕搞到人心惶惶。,Not yet. If I do I’m afraid it’ll put the wind up everyone.,,
cphrase_yue_408,噉都要講。唔講就等佢噉樣不知所謂落去。,You still have to. Say nothing and you let him carry on being a disgrace.,,
cphrase_yue_409,個郵局喺邊？,Where’s the post office?,,
cphrase_yue_410,商場對面，地鐵入口隔籬。,"Opposite the mall, next to the underground entrance.",,
cphrase_yue_411,兩個入口，我行邊樣好？,There are two entrances — which one do I take?,,
cphrase_yue_412,行右邊嗰個，行入去就見到。,The right-hand one — walk in and you’ll see it.,,
cphrase_yue_413,佢近來點呀？成個月冇見。,How’s he been lately? Haven’t seen him all month.,,
cphrase_yue_414,目前仲係做緊嗰份工，不過話想轉。,"For now he’s still in the same job, but says he wants a change.",,
cphrase_yue_415,佢晨早就講過㗎喇。,He said that ages ago.,,
cphrase_yue_416,今次似真啲。佢話一個月以內就走。,This time it sounds real. He says he’s off within the month.,,
cphrase_yue_417,你講嘢真係進步咗好多。,Your speaking really has come on a lot.,,
cphrase_yue_418,日日練少少，累積落嚟就有。,A little every day — it adds up over time.,,
cphrase_yue_419,你點練？上堂定自己嚟？,"How do you practise — classes, or on your own?",,
cphrase_yue_420,自己嚟。專心聽人講，比上堂快。,On my own. Listening properly beats a class for speed.,,
cphrase_yue_421,你去邊食嘢？,Where are you going to eat?,,
cphrase_yue_422,成個街口都試過，得嗰間夠地道。,I’ve tried the whole street — only that one’s properly local.,,
cphrase_yue_423,貴唔貴？,Is it dear?,,
cphrase_yue_424,比較上算平。根本上係街坊價。,Cheap in comparison. Basically neighbourhood prices.,,
cphrase_yue_425,你隻錶幾時買㗎？,When did you buy that watch?,,
cphrase_yue_426,舊年。唔係冒牌，我睇過先買。,Last year. It’s not a fake — I checked before buying.,,
cphrase_yue_427,幾好睇。個背囊都襯。,Looks good. The backpack goes with it too.,,
cphrase_yue_428,嗰個係私家嘢，唔係公司派。,That one’s my own — not company issue.,,
cphrase_yue_429,你哋間鋪嘅租金貴唔貴？,Is the rent on your shop dear?,,
cphrase_yue_430,貴。仲要另外畀車位錢。,It is. And there’s the parking on top.,,
cphrase_yue_431,兩個租戶分擔唔得咩？,Can’t two tenants split it?,,
cphrase_yue_432,傾過。佢話寧願取消個位。,We talked about it. He’d rather give the space up.,,
cphrase_yue_433,間鋪捱得過哩個困境咩？,Can the shop get through this rough patch?,,
cphrase_yue_434,搏一搏啦。唔試點知？,Have a go at it. How do you know without trying?,,
cphrase_yue_435,你都幾夠膽。,You’ve got some nerve.,,
cphrase_yue_436,唔係夠膽，係冇得揀。渡過咗先算。,"It isn’t nerve, it’s no choice. Get through it first, then we’ll see.",,
lesson_yue_l1_v15,係囖,"(particle — ""obviously"", ""that’s just how it is"")",,
lesson_yue_l100_0,今晚食咩餸？我去街市買。,What are we having tonight? I’ll go to the market.,,
lesson_yue_l100_1,佢唔飲酒，唔食煙，好健康。,He doesn’t drink or smoke — very healthy.,,
lesson_yue_l100_2,哩度啲食品全部都寫住日期。,Everything packaged here has the date on it.,,
